Restriction Id,Restriction Type,Operational Goal,Enabled,Externally Available,Validity WEF,Validity TIL,During,Days of Week,Start Time,End Time
EDREDR500A,M,CROSS BORDER FRA LIMITATION FROM RAS EDUUFRAE TO RAS EDMMFRAE,Y,Y,17/06/2021,11/12/2036,Y,-2-----,0000,0300
EDREDR500A,M,CROSS BORDER FRA LIMITATION FROM RAS EDUUFRAE TO RAS EDMMFRAE,Y,Y,17/06/2021,11/12/2036,Y,-2-----,2130,0000
EDREDR500A,M,CROSS BORDER FRA LIMITATION FROM RAS EDUUFRAE TO RAS EDMMFRAE,Y,Y,17/06/2021,11/12/2036,Y,------7,0000,0400
EDREDR500A,M,CROSS BORDER FRA LIMITATION FROM RAS EDUUFRAE TO RAS EDMMFRAE,Y,Y,17/06/2021,11/12/2036,Y,1------,2230,0000
EDREDR500E,M,CROSS BORDER FRA LIMITATION FROM RAS EDMMFRAE TO RAS EDUUFRAE,Y,Y,17/06/2021,11/12/2036,Y,------7,0000,0300
EDREDR500E,M,CROSS BORDER FRA LIMITATION FROM RAS EDMMFRAE TO RAS EDUUFRAE,Y,Y,17/06/2021,11/12/2036,Y,---4---,0000,0300
EDREDR500E,M,CROSS BORDER FRA LIMITATION FROM RAS EDMMFRAE TO RAS EDUUFRAE,Y,Y,17/06/2021,11/12/2036,Y,-2-----,0000,0400
EDREDR500F,M,CROSS BORDER FRA LIMITATION FROM CTA EDMM TO RAS EDUUFRAE,Y,Y,19/05/2022,11/12/2036,Y,-----6-,0300,2130
EDUELI500A,M,CROSS BORDER FRA LIMITATION FROM RAS EDUUFRAE TO RAS LIFRA,Y,Y,01/12/2022,11/12/2036,Y,----5--,2130,0000
EDUELI500A,M,CROSS BORDER FRA LIMITATION FROM RAS EDUUFRAE TO RAS LIFRA,Y,Y,01/12/2022,11/12/2036,Y,1------,2130,0000
EDUELI500A,M,CROSS BORDER FRA LIMITATION FROM RAS EDUUFRAE TO RAS LIFRA,Y,Y,01/12/2022,11/12/2036,Y,--3----,2230,0000
EDUELI500A,M,CROSS BORDER FRA LIMITATION FROM RAS EDUUFRAE TO RAS LIFRA,Y,Y,01/12/2022,11/12/2036,Y,-2-----,2230,0000
EDUEYX500A,M,CROSS BORDER FRA LIMITATION FROM RAS EDUUFRAE TO RAS EDYYFRA,Y,Y,05/10/2023,30/11/2023,Y,1234567,0000,0000
EDUSEC500A,M,CROSS BORDER FRA LIMITATION FROM RAS EDUUFRAE TO RAS SECSI,Y,Y,18/05/2023,11/12/2036,N,----5--,2130,0000
EDUSEC500A,M,CROSS BORDER FRA LIMITATION FROM RAS EDUUFRAE TO RAS SECSI,Y,Y,18/05/2023,11/12/2036,N,---4---,0000,0400
EDUSEC500A,M,CROSS BORDER FRA LIMITATION FROM RAS EDUUFRAE TO RAS SECSI,Y,Y,18/05/2023,11/12/2036,N,---4---,2130,0000
EDUSEC501A,M,CROSS BORDER FRA LIMITATION FROM RAS EDUUFRAE TO RAS SECSI,Y,Y,05/10/2023,11/12/2036,Y,--3----,0400,2130
