ID,From,To,"Lower Vert.
Limit (FL)","Upper Vert.
Limit (FL)","Available or Not
(Y/N)",Utilization,"DCT Time
Availability","Operational
Goal",Remarks,"Direction of
Cruising Levels",ATC Unit,"Release
Date"
EG5316,BUGUP,DILAX,MEA,195,Yes,"ONLY AVBL AND COMPULSORY FOR TFC
With RFL below FL195 in EGTTFIR
DEP EGTK
Via 
CPT/DET//DVR/GWC/KENET/MID/SAM/SFD/EGTT20HRW/EGTT21HRL/ EGTT18SFD except ARR EGTO",H24,To ensure traffic follows standard departure routes,,,EG**ACC,
EG50180,BUGUP,EVSEM,MEA,660,Yes,"ONLY AVBL AND COMPULSORY FOR TFC
DEP EGTK
1. Via CPT/DET/DVR/GWC/KENET/MID/SAM/SFD/XIDIL
   With RFL above FL195 in EGTTFIR",H24,To ensure traffic follows standard route,,,EG**ACC,
EG50247,DONAX,GASKO,135,660,Yes,"ONLY AVBL FOR TFC
ARR EGNV
With RFL above FL245",23:59..06:00 (22:59..05:00) at DONAX,Night DCT to allow more direct routeing,,,EG**ACC,
EG50032,DRAKE,NETVU,MEA,125,Yes,"ONLY AVBL AND COMPULSORY FOR TFC
ARR EGKB/LC/MC
Via SITET",H24,"Link from L151 to NEVIL, GODLU STARs",,,EG**ACC,
EG50234,ERING,KOPUL,MEA,245,Yes,"ONLY AVBL AND COMPULSORY FOR TFC
ARR EGKA
Via GILTI",H24,To ensure traffic follows correct arrival routing,,,EG**ACC,
EG5352,HON,BUGUP,MEA,660,Yes,"ONLY AVBL AND COMPULSORY FOR TFC
ARR EGTK
Via HON",H24,To force traffic onto correct arrival route,,,EG**ACC,
EG5369,NELSA,GASKO,MEA,245,Yes,"ONLY AVBL AND COMPULSORY FOR TFC
DEP EGNM
Via NELSA
1.  With ARR EGNV via NATEB
2. With ARR EGNT 
     acft-eqpt not  (D1, D2, D3, D4, O1, O2, O3, O4)
     Via NATEB",H24,To enable connectivity from the NELSA SID to the airway structure (P18),,,EG**ACC,
EG5351,PEPUL,BUGUP,MEA,660,Yes,"ONLY AVBL AND COMPULSORY FOR TFC
ARR EGTK
Via PEPUL",H24,To force traffic onto correct arrival route,,,EG**ACC,
EG50295,REXAM,BARTN,MEA,660,Yes,"ONLY AVBL AND COMPULSORY FOR TFC
1. ARR EGNM
Via REXAM
2. ARR EGCN
acft-eqpt NOT ( D1, D2, D3, D4, O1, O2, O3, O4)
Via REXAM",H24,To enforce standard routes,,,EG**ACC,
EG5296,ROLEX,GASKO,135,660,Yes,"ONLY AVBL FOR TFC
ARR EGNV
With RFL above FL245",23:59..06:00 (22:59..05:00) at ROLEX,Night DCT to allow more direct routeing,,,EG**ACC,
