Change Status,Point Type,FRA Point,FRA Point Latitude,FRA Point Longitude,FRA Name,FRA Status En-Route,FRA Status ARR/DEP,Arrival Airport(s),Departure Airport(s),FLOS,Level Availability,Time Availability,Airspace Location Indicators,Cross-Border FRA States,Remarks
,,AKUMA,N551138,E0224511,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,AD,EYKA,EYKA,-,FL095 / FL660,H24,EYVL,,
,,AKUPO,N470004,E0242344,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,EX,AD,"LRCL,LRSB,LRTM",LRCL,ODD/EVEN,FL105 / FL175,H24,LRBB,,
,,AKUPO,N470004,E0242344,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,AD,"LRCL,LRSB,LRTM",LRCL,-,FL175 / FL660,H24,LRBB,,
,,ALAMU,N474413,E0181948,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,E,-,,,ODD,FL095 / FL245,H24,LHCC,LZBB,
,,ALAMU,N474413,E0181948,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL245 / FL660,H24,LHCC,LZBB,
,,ALAMU,N474413,E0181948,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL245 / FL660,H24,LZBB,LHCC,
,,ALAXI,N414405,E0132052,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL195 / FL660,H24,LIRR,,
,,ALBET,N452536,E0113033,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,D,,LIPE,-,FL195 / FL660,H24,LIMM,,
,,ALEDI,N393637,E0095938,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,AD,LIEE,LIEE,-,FL195 / FL660,H24,LIRR,,
,,ALELU,N422845,E0195102,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL195 / FL660,H24,LAAA,LYBA,
,,ALELU,N422845,E0195102,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL205 / FL660,H24,LAAA,LYBA,
,,ALENO,N435809,E0295029,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL105 / FL660,H24,LRBB,,
,,ALESE,N461630,E0112414,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,A,LIPH,,-,FL195 / FL660,H24,LIMM,,
,VORTAC,ALG,N403741,E0081438,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,A,LIEO,,-,FL195 / FL660,H24,LIRR,,
,,ALIVI,N431114,E0263845,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL175 / FL660,H24,LBSR,,
,,ALIVO,N453124,E0144421,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,EX,D,,LDRI,-,7500 FT / FL205,H24,LDZO,LJLA,
,,ALIVO,N453124,E0144421,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,D,,LDRI,-,FL205 / FL660,H24,LDZO,LJLA,
,,ALIVO,N453124,E0144421,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,EX,D,,LDRI,-,7500 FT / FL205,H24,LJLA,LDZO,
,,ALIVO,N453124,E0144421,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,D,,LDRI,-,FL205 / FL660,H24,LJLA,LDZO,
,,ALIXA,N353633,E0201449,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL195 / FL660,H24,LMMM,,
,,ALIXI,N392708,E0172634,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL195 / FL660,H24,LIBB,,
,,ALJUB,N415436,E0161945,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,A,LIBD,,-,FL195 / FL660,H24,LIBB,,
,,ALKIS,N351200,E0300000,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL305 / FL660,H24,LGGG,LCCC,
,,ALOKU,N371741,E0133354,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL195 / FL660,H24,LIRR,,
,,ALOXU,N454653,E0242029,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL175 / FL660,H24,LRBB,,
,,ALUDU,N370911,E0153447,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL195 / FL660,H24,LIRR,,
,,ALUKA,N525357,E0141824,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,EX,-,,,-,FL095 / FL660,H24,EPWW,,
,VORDME,ALX,N405114,E0255724,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL305 / FL660,H24,LGGG,,
,,AMADI,N480529,E0125450,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,-,A,EDDM,,-,LAL / FL660,H24,LOVV,,
,,AMANI,N391956,E0262958,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,EX,-,,,-,FL305 / FL660,H24,LGGG,LTBB,
,,AMANO,N392518,E0134748,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL195 / FL660,H24,LIRR,,
,,AMAXI,N350552,E0254658,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL305 / FL660,H24,LGGG,,
,,AMEDU,N494220,E0225025,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,EX,-,,,-,FL095 / FL660,H24,EPWW,UKBU,
,,AMGOK,N423918,E0135346,BALTIC & FRAIT & SECSI & SEE & MALTA & HELLAS & NICFRA,I,-,,,-,FL195 / FL660,H24,LIBB,,
